Esquema Terapêutico,Frequência
ADRIACICLOFDOCE,5
CicloFOSFAMida+,5
DOCITAXEL,5
"ANASTROZOL, ACT",5
TRANS+TAMO,5
HERCEPTIN/TAMOX,5
EPIRRUBICINA,5
AC 4X-> TxT 4X,5
AC+TXT+ HERC,5
AC >txt,5
ACTXTH,5
PACITAXEL,5
CT +ADM + FU,5
"ADM,TAXOL,CICLO",5
PCT+DOXO,5
ACT+DCTT+HERCEP,5
TAXOLTC,5
AC -TXT+HERCEPT,5
AC CICLOFOSFAMI,5
GENZAR CDDP,5
"GEMZAR, CDDP, H",5
ALENTA+DOCETAXE,5
acX4--> txtX4,5
CICLO+DCT,5
"CMF,FILGASTRIN",5
"CISPLATINA, DOC",5
TOXOL,5
"XELODA, ACT",5
AC-D+HERCEPTIN,5
AC +txt x4,5
DOCE+ TRAST,5
QUIMIOTERAPIA,5
DOCE+DOXO+CICLO,5
DOCE+HERCE,5
ac ->txt,5
TRASTUZUMABE (A,5
AC-TAXOL+CARBO,5
PACLIT+TRAST,5
ACT -08CICLOS,5
"TAMOXIFENO, HER",5
ACT-C,5
DOCETAXEL CICL,5
DOCE+DOXO,5
TRAST+AC-D,5
DEXAONDA,5
CMF+AREDIA,5
TRASN+PACLI,5
AC/THERCEP,5
CPMACT-D,5
4AC +4P,5
"AC, DOXO, CICLO",5
ADRIA+CICLOFOS/,5
AC/DOXO/PACLITA,5
ETOPOSIDEO + CD,5
AC THERCEPT,5
TCH+CARBO,5
"TAX SEMANAL, TR",5
"TAXOL,TTZ",5
DOXO+IFO,5
TH -litaxel+He,5
AC SEUIDODETAXO,5
PACLI+ TRAST,5
TAXOL2ª LINHA,5
ac doetaxel,5
AC SEUIDODEDOCE,5
FAC3>,5
PALITAXEL,5
FAC -,5
FAC3+,5
AC+bonefos,5
AC/TADR+CICLO+,5
TAXEL/CARBO,5
VINORELBINA (SE,5
TAXOLDOSE DENS,5
ADM CPM TAXOL,5
DOXORRU/ CICLO,5
CARBOPLATINA-DO,5
DOXOTAXEL,5
capec,5
"AC, FILGASTRIM",5
PCT+CBP,5
5FUADM CPM,5
FACXTXT,5
Fac x,5
DOCET+CARB+HERC,5
HERECEPTIN+ANAS,5
PACLITAXEL+ FIL,5
ADMTAXOL,5
DOXORR+CICLOFOS,5
DOXOR+CICLOFOS,5
fac X,5
CIS+GEMZAR,5
CTX+DOXO+FU,5
PACLITAXEL/FILG,5
DOXO+ CTX,5
5FU+ADRI+CICLO,5
DOXO+GENUXO,5
FACACT-D,5
TAMOXIFENO/ HER,5
gemcis,5
PACLIHERCEP,5
TAMOXIF+HERCEPT,5
AC-T+HERCEP,5
GENCITABINA/CDD,5
FEC+TXT+HERCEPT,5
AC-T(1),5
VINOUBIME,4
DOCETACEL+TRAST,4
DOXO+GENUX,4
PACCLITAXELCARB,4
paclitaxelcabop,4
AC-CAPECITABINA,4
NAVELBINE+ZMT,4
GENCIT + CISPLA,4
GENGITABINA,4
taxol+carboplat,4
carbo+ taxol s,4
TAXOTERE/EPIRRU,4
DOECETAXEL,4
AC+TXT+hercept,4
PALITOXEL,4
AC+GRANU,4
DOCE+ TRASTUZU,4
AC DD,4
DocetaxelCiclof,4
"TAXOTERE,HERCEP",4
TXT+PRED,4
"AC, FILGRASTIM,",4
TAC +GRANULOK,4
CQARBO+TAXOL,4
t,4
p/c,4
AE PAIFANEL,4
PACLI+ CARBO,4
AC. TAYOL,4
ARIMIDEX+OSTAC,4
FAC PACLITAXEL,4
RUBICINA/CICLOS,4
"TAXOTERE, CICLO",4
CDDP+MANIT+GENC,4
CICLOFOSMA+ DOX,4
TAXOTERE+CARBOP,4
DOCE/CARB/HERCE,4
DOCETAXELEZOMET,4
CARABO/PACLI,4
ADRI/GENU/TAX,4
CICLOFOSFAM + D,4
AC-TASTUZUMABE,4
DOCETACEL/CICLO,4
Octreotida01mgm,4
TXT+DOCETAXEL,4
TAXOTERE/GENUXA,4
PLAXITAXEL,4
TAC/GZ/CSF,4
AC /DOCE,4
PLACLITAXIL,4
ADRIBLA/GEN/TAX,4
DAHF,4
DOX 5FU,4
CICLO.DOXO,4
DOXORRUBICINA L,4
FULVES+TAMOXI,4
CTX DOCETAX,4
¿PACLITAXELDOXO,4
04AC+ 12TAXOL,4
PACLITACXEL,4
CARBO/TAXO/DOCE,4
TC/H,4
DOCETAXEL+CAPEC,4
3FAC+3TAXOL,4
AC 0,4
AC DOCET,4
TAXOL+,4
TAXOL/FILGRASTI,4
PACLITAXEL 260,4
AC-TAXO+GR,4
PACLTAXEL+TRAS,4
cispla+genzar,4
DOCETAXEL/AREDI,4
TAMOXFENO,4
8 ACT,4
ADR/C,4
ACT/ZOMETA,4
HERCEPTIN+DOCE,4
DOXO+IFO+MESNA,4
AC-TH/TRASTUZUM,4
CDDP/ENZAR,4
Doxo/arboHercep,4
AAC T,4
ac-terceptin,4
HERCEPTIN+CAPEC,4
AC-TAOXOL,4
CTX +TXT,4
ANASTR+ZOLA,4
069+145,4
TAXOL-AC,4
AC-TATERE,4
CARBO+AC-D,4
GENZAR+CISPLAT,4
CARBOPACI,4
TA,4
PCT4,4
"CICL, DOX",4
ZMT+CARBO+TAXOL,4
TAXOL+ HER,4
CICLOF/DOXORRUB,4
CDDP/DOCETAXEL,4
docetaxel 150 m,4
MTX+ARAC,4
AC/th,4
OC-TX,4
AX/TAXOL,4
FARMO/FLUO/CIC,4
XELODLODA,4
AC -PACLI + CA,4
MTX CICLO FU,4
PACLITAXIL,4
faslo,4
CDDP+GENZAI,4
ELIGARD,4
AC-TH/TRASTUZSU,4
"DOCE,TAXOL",4
CICLO+DOXO+HERC,4
DACARBAZINA,4
AC+TXS,4
"PACLITAXEL,FILG",4
GEMZAR MONO,4
TAXOL/DOCE,4
ADRI-CICLOFOSFA,4
paclitaxel+herc,4
ADRIA_CICLO_TA,4
"EPIRRUBUCINA,5-",4
CARBOPLAT+DOCET,4
TAROLI,4
AC/AT,4
AC-PACLIT,4
AC /DOXO,4
TRAST- AC/T,4
AC-DOCET,4
herceptin+docet,4
CFM/DOCE/HERCEP,4
P ADR,4
TAXOL/ HERC,4
AC-T/HERCEPTIM,4
ADRI/DOXO/DOCE,4
"TRAZTUZUMABE,",4
PACLITA+CARBO+Z,4
DOCE/CARB/TRAN,4
CICLOF+DOXORR,4
TAX EPI,4
DCT +CARBO + H,4
CICLOFOSFAMIDAP,4
34+46+145,4
DOXOCIC PACLI,4
CLICOFOSFAMIDA+,4
DOX CICPAC CARB,4
ZMT+LETRO,4
CICLO/DOXORRUBI,4
AC +FILG,4
ciclofos+doxorr,4
HerceptinTaxol,4
TXT CARBOPLATIN,4
PACLITAXEL DOX,4
"DOXO,PLACLITAXE",4
FAC-TXOTERE,4
AC +docetaxel,4
XALODA,4
TAXOTE+CICLOS,4
TAX+ADM,4
HERCEOPTIN,4
PACLITAXEL 280,4
HEWRCEPTIN,4
DOXO+5FU+ZOMETA,4
"TAXOL,CTX,",4
AC-TX+HERCEPTIN,4
CFM/DOXORRUBICI,4
ACTH/ANASTROZOL,4
OXALI+CAPEC+ANA,4
DOCETAXEL CICLO,4
46+34+129,4
GENCIGENCITABIN,4
AC+HERCEPTN,4
AC-TAX GRA,4
T-AC20),4
DC CARBVO,4
ifoe   doxo,4
ac/palitaxel,4
PACLITAXEL+HER,4
"HERCEPTIN,ARIMI",4
TAC/TRIPTORRELI,4
DOXORRU+CICLOSF,4
"ZOLADEX3,6MG+HE",4
TRASUTU/DOCE,4
"GENUXAL, TAXOL",4
ZOLADEX+ZOMETA,4
DOXO+DOCETAXEL,4
GEMZAR CDDP,4
CARBO(CARBOPLA,4
T + A,4
FLOURO+LEUCOVO,4
AC-PACLI-TRASTU,4
CICLOFOS DOXO,4
FARMORRU+TAXOL,4
03040185,4
PACILTAXEL,4
CARBO+PLACI,4
"GRANULOKINE, 03",4
CICLODOXORRUBIC,4
PLAQUITA+TRASTU,4
carbopaclitaxel,4
GEMZAR/PAMIDRON,4
DOXO;CICLO,4
TAXOLSEQUENCIA,4
TXT+AC,4
CARBO+PACLI+CIC,4
carbodocehercep,4
AC PAMID,4
CARBO/TRASTUZ,4
CICLOFO+DOCETAX,4
AC X4+ PACLITA,4
AC /TX,4
"TAXOL, ADRIA",4
AC /GRANULOKINE,4
4ACX+ 4T,4
AC THERCEPTIM,4
CICLOFOSFASMIDA,4
TH+HERPCEPTIN,4
DOXOCICLOSF,4
CICLO/FLUOR/TAG,4
TH+HERCEPTIN,4
"AC /TAXOL, PAC",4
TRAZT+PERTUZ,4
doce+genuxal,4
CLICLOS DOXO,4
AC+TXT+TRTZ,4
AREDIA AC,4
ADRIA+CDDP,4
"VNB,",4
ANASTROZOL TRA,4
CTX+TAXOL,4
DOCE/CP,4
PACLITA/TRAS/GR,4
ADRIB+GEN+TAXOT,4
FAC TA,4
acxt,4
herce,4
PECITABINA HECE,4
AC/T+HERCEPTIM,4
DOCE/CTX,4
TAC/CTX,4
A.C.T,4
DOCETA+TRASTUZU,4
AC/ZOLADEX,4
DOC/TRA/PER/ZOM,4
TAXOL138.40 MG,4
TC/TH,4
DOXI/CICLO,4
CISPLATINA+GENZ,4
4AC +12 PTX,4
"AC, PACTACLIXEL",4
CARBO/TRASTUZU,4
txt/HERCEPTI,4
AC4,4
TRASTU/PERTUZU,4
OCTREOTIDA,4
PACLITAXEL 30 M,4
HER-2/TAXOL,4
CICLOS  DOCE,4
HERCEPTIN / AC,4
H49A,4
CICLOS DOXO,4
AC/T(ADRIACTXTA,4
taxol138.40 mg,4
cddpgemzar,4
EXMT,4
EC/T,4
IT INTRATECAL,4
DOXO96+CTX 960M,4
CARBDOCE TRAST,4
TAXOTERE+ADRIBL,4
AC-TDOSE DENS,4
ADRIA/CDPP,4
CISPLA+GENCI,4
CARBOE TAXOL,4
FASLODEX-ZOMETA,4
DOC+CA+TRA,4
TAXO+HERC+CARBO,4
PER+TRAS+ANAS,4
6 FAC,4
CICLOFOFAMIDA+D,4
gg,4
TAZOL,4
AC+TAX+GRA,4
5FU NVB,4
ACT(ADRI+CICLO),4
TAXOL/HERC/GLIV,4
AC-TNEOADJUV.,4
AC 130MG+1300MG,4
FASL+ZOMETA,4
AC-TNEO,4
"CISPLATINA,",4
TRAZ,4
TAXOTERE/CICLO,4
120 -PACLITAXE,4
AC-CARBO/TAXOL,4
029 -CARBOPLAT,4
Doxo/iclo,4
TXT paliativo,4
GEN +TAXOTERE,4
DOXO+CICLO+FILG,4
CTX+DOCETAXEL,4
CA T,4
TAXOERCEPTIN,4
ACT+CARBOPLATIN,4
CICLO+DOXO+GRAN,4
Paclitaxel+Carb,4
CICLOFO+DOSORRU,4
CC,4
E CT,4
EPI+CTX,4
ACT(CICLO+ADRI),4
qt,4
CARBO+TAXOL - 0,4
AC-OSTAC,4
DOCETAXEL+HECEP,4
4 AC+,4
DOC CARBO TRAST,4
"DOCETAXEL, CTX",4
"HERCEPTIN,TAMOX",4
AC-DCT+CARBO,4
TAXOL+ GZ,4
PACLITAXEL + HE,4
DICETAXEL,4
txt semanal,4
CARBOPLATINA P,4
"CARBO, PACLITA",4
069 -DOCETAXEL,4
CISP+ GENCITA,4
04 AC+ 12T,4
TMX/RCEPETIN,4
069-DOCETAXEL 0,4
ACX4+TXT4,4
ACT (ADRIA+CICL,4
TAXOL/HERCEP/PE,4
TAXOL+CABRO,4
CARBOPLAT/DOCET,4
AC-D+CARBO,4
HERCEPTIM TAXOL,4
docetaxeltrastu,4
TAX+CAR+XE+ZMT,4
DOCECARB HERCE,4
acp,4
PACLI+ TRASTU,4
ANATSROZOL,4
5 FU/ LV,4
CARBO+DOC,4
AC -T/AREDIA,4
BC+T,4
AC/ TXT/Hercept,4
"PACLITAXEL,FAC,",4
CICLI/DOXO,4
PACLIDOXOR,4
FILGRASTINA,4
TAXOTER+FAC,4
FAE,4
TRANSTUZU+TAXOL,4
AC T+ HERCEPTI,4
PACLITAXEL FEC,4
AC-TH+ HERCEPT,4
PLACCETUX,4
TAXOL295 MG,4
AC/FILGR/ZOLEDR,4
PACLI/GENCI,4
AC4+TAXOL,4
TRASTUZ+PERTUZU,4
TAXOTERE-HERCEP,4
tamoxifen,4
FACLETAXEL,4
TAXOLADRIA,4
Genzar + Cispla,4
QT NEO,4
"DOXORR, PACLIT,",4
acx 4,4
HERCEP+TAMOXIFE,4
Carbo+,4
AC/CTX,4
AC(DOXORRUBICIN,4
CICLO+ DOXORRU,4
"TAMOXIFENO, GOS",4
PACLITAXELDOXOR,4
DOXORRUBICINAGE,4
ZOMETA DOCETAXE,4
CARB+PAC+PER+TR,4
DOCE+CDDP,4
PACLITEXEL,4
ZMT+TAX+CARBO,4
CAR+TA+FIL,4
DOXO/AXOL,4
"CICLO, FU DOXO",4
CICLODOXO TAXO,4
carbo+doce+tra,4
CICL+DOX+P,4
TAXOTERE-EPIRRU,4
CGCG,4
CARBOTAX+TRASTU,4
TZT+AC,4
CARBO+PTX+AC,4
DOE/CRBO,4
Anastrazol,4
AMT,4
GENUXAL+DOCE,4
GENUXAL / DOXO,4
DOCETAX+CICLO,4
TRASTUZUMAB + P,4
ADRIA/ CICLOFOS,4
4 AC+RT,4
TAXOL/TRNSTUZUM,4
024-CARBOPLATIN,4
"CARBOPLATNA,PAC",4
CICLOFO+TAXOL,4
CARBOTAXOL+TRAS,4
DOCE+ CARBOPLA,4
TAXOL/HERC/PERT,4
PTX +HERCEPTIN,4
DOCE/RASTUZUMAB,4
AC  /DOCETAXEL,4
"DOXO,CICLOFOSFA",4
PACLITAXEL/TAXE,4
AT-TXT,4
DP,4
GT,4
CICLOFO+DOXOR,4
ac taxol,4
CAEBO/TAXOL/TRA,4
"TAXOL,4AC,",4
AC X4DOCETAXEL,4
DOXORRUBICINA+A,4
"PACLITAXEL,CAR",4
AC DD+ T,4
HERCE+TAMOXIFEN,4
PACLETAXEL+TRAS,4
DOCETA+CARBO+TR,4
NEOADJUV,4
NÃO ESPECIF,4
PCT DOXO CTX,4
ADRIPLA+CICLOFO,4
ACXM/DOCETAXEL,4
CARMO/TAXOL/AC,4
CISPLA+GEMZAR,4
GENZAR+DOOP,4
DOXO-CICLOFOSFA,4
"HERPEPTIN,TAMOX",4
TRASTUZ/DOCE,4
GEMZAR +CDDP,4
TXT+FAC,4
EPIRRU+CICLOFO,4
CICLOFOS+METROT,4
AC X4/ DOCETAX,4
CILO/DOXO/FILG,4
txth4,4
txt+ hercepti,4
ADIA/CTX,4
TAXOL+ CDDP,4
TRANST+DOCETAX+,4
CTX +OXO,4
Pacli+trastuzum,4
AC+ADM+CTX,4
*AC+T,4
PAMIDPACLI,4
AC +taxol,4
ac +tXT,4
paclitaxel sem,4
DDP/GEM,4
AC X4 + DOCETA,4
Folfiri+Bevaciz,4
tAXOL,4
ANASTROZOL /TRA,4
GEMZAR TAXOL,4
AMZ,4
NEODECA,4
AC +PACL+ CARB,4
SE-I,4
AC/ PACL/CARBO,4
PACLI/AC,4
EPIRRU+CICLOFOS,4
TAXOL175MG,4
ACX4PACLI CARB,4
CARBOTAX+TRAS,4
"CICLOSFO, DOXO",4
PCT+DOXOE CTX O,4
Herceptin800mgP,4
ACX4DOCETOXELX4,4
"TAMOXIFENO, TRA",4
FASLODEX+ANASTR,4
"DOXO,TAGAMET,TA",4
ONDANSET/TRASTU,4
TAX/C,4
HERCEP/TAXOL/AC,4
"DOXORUBICINA,TA",4
CARB/TAXOL,4
CAPECITABINE,4
?,4
AC+DOCETAXEL+TR,4
CAR/TAX/DOX/CFM,4
CARBO+TAXOL+FIL,4
TAXOLHERCEPTIM,4
GEMZAR + TAXOTE,4
VINOULBINA,4
DOXORRIBICINACI,4
CDDPISOLADA MA,4
AC+TOK,4
TRASTDOCE CARB,4
ac ta,4
AC PACH,4
ANAST+TRAST,4
DOCETAXELCICLOS,4
CICLOFOSFA+FLOU,4
DOCE/CARB,4
DOXO+CICLO+PACI,4
paclitaxel+carb,4
DOXOICTRASPACL,4
ESTRADIOL,4
4AC-4,4
"HERCEP,TAXOL,AC",4
AC  TXOL,4
PACLI/AC/TRASTU,4
CARBOTAXOL=AC,4
"TRASTUZU,AC,TAX",4
taxoter + HCP,4
ADRIA+COCLOF,4
CICLOSF/DOX,3
TRAST+GRAN,3
ACD+GRAN,3
AC -DD,3
TRASTU+PERTU,3
ACDD-CARBO+TAX,3
ACSEGUIDO TAXOL,3
"TAMOXIFENO, AC+",3
"TAMOXIFENO, TXT",3
PERTUZ TRASTUZ,3
AC-T-TRAST,3
DEX,3
"TAMOXIFENO, AC",3
PACLITACEL AC,3
AC-CICLO/DOXO/F,3
AC+TAXANO,3
AC-T+HERCP,3
ac-tx,3
doce+ciclo,3
DOXO+GEMZAR,3
TRAS+PACLI,3
AC-D+TRAST+CARB,3
ANST+TRANS+PERT,3
PAC+HERCEP,3
FILG+PAC,3
DOCETAXEL+TRATU,3
ACT +PH,3
ACX4+ TH X4,3
ac+ TxT,3
AC/paclitaxel H,3
AC-TAXENE,3
ADRIMIACINA / C,3
4 SC+T,3
"AC+TAXOL,",3
"HERCEPTIN+DCT,",3
NOLVADEX HERCEP,3
TAXOL+TRASTUZUN,3
"AC T,",3
CTX FAR FILG FU,3
ACX4TXT X 4,3
ac/taotere,3
HERCE+ANASTROZO,3
TAXOT+HERCEP,3
AC_TAXANE,3
TAXOL+TRATUZUMA,3
ACT+HERCETIN,3
TAXOTERE GRANUL,3
PREV,3
"TRASTUZUMAB,",3
CILOSFOSFAMIDA,3
AC+-T,3
CCLO/DOXO,3
ACTXT,3
AC+TXT+GENUXAL,3
HERCEP+TAMOX,3
FEC/GRANULOKIN,3
genzar+cis,3
DOCET+CICLO FOS,3
ac+ Th??,3
DOCETAXOL+HERCE,3
AC>T,3
FAC 3T3,3
HERCEP+TAMOXI,3
HERCEPTIM+TAMOX,3
TAMO+ANASTROZOL,3
TXT+HERCEP+ZOME,3
ADM 86+CTX 864,3
AC X4- DOCE X4,3
AC+DOCETAXIL,3
FEC 90,3
ADM+CICLOFOSFAM,3
FAC -DOCETAXEL,3
AC --> TXT,3
Taxotere+Hercep,3
FAC -DOXETAXEL,3
FDC,3
DC(DOCETAXOL+CI,3
CICLOFOS GRANUL,3
DTC EP FU,3
RC-DOCE+CICLO,3
Gemzar/CDDP,3
ADRIAMICINA/ CI,3
NAST,3
LEUPRORRELINA+P,3
PACLITAXEL+TZB,3
FEC X4,3
DOCETE CICLO F,3
ACCAT,3
TAXOLHER,3
docetaxel+trast,3
TAXOL+TRANST,3
DOCETAXEL+TRNST,3
TAXOL+CICLOSF,3
TC-DOCE+CICLO,3
POCLETAXEL,3
4AC+TAXOTORE4,3
POCLITAXEL,3
CICLO/EPIRRUBIN,3
ACT8CICLOS(DOXO,3
NERCEPTIN,3
DOCETAXEL+FAC,3
AC CICLO/PACLI,3
AC +TAXOL SEM,3
AC GRANULOK,3
AC=HERCEPTIN,3
ACT(GENUXAL+TIL,3
DOCE+CICLOSF,3
FEC+T,3
ACPACLITAXEL,3
AC 1aparte,3
AC --> T,3
MIFL,3
FAC+HERCEPTIN,3
TAXOL/12 AC/4,3
DOCETAX+HERCEP,3
PACLITA+CARBOPL,3
AC-TACXANE,3
CM,3
HERCEPTI +ARO,3
"GEMZAR,CDDP,",3
Fac+3+Txt+3,3
PACLI+HER,3
HER+PACLI,3
TAXOTERE CICLOF,3
AC/T-HERCEP,3
AC +tXT,3
ac +th,3
ACT+/-H,3
FAC +XT,3
GENCI+CISPLA,3
TAXOL+CICLOSFAM,3
HERCEPTIM/AROMA,3
ANASTRO-ACT,3
TXT+HERCEPTIM,3
AC-T/HERCEPT,3
ACT+TXT,3
PACLITAX+TRASTU,3
PACLITA+ZOMETA,3
AC-->TXT,3
AC4X+ TXT4X-H,3
PACLIATAXEL+HER,3
AC-T+TRANSTUZUM,3
ADRIB/CICLOFO,3
TRAST+ TAXOL,3
CICLOF.+DOCETAX,3
NEOPLASIA MALIG,3
ACD-H,3
AC-T+HERCEPETI,3
QUIMOTERAPIA PR,3
CARBO+PTX+HERCE,3
AC-TXT+HERCEPTI,3
CARBOP+DOCETAXE,3
ACX4+TXT,3
ANASTR/TAMOX,3
AQC-TAXANE,3
4AC+TAXOTERE4,3
PACTAXEL(TAXOL,3
"CICLOFO,PACL,DO",3
4 ACAXOTERE4,3
AC-T+TRANATUZUM,3
AC-TAXNE,3
DOCETAXEL/PAM,3
FAC+AREDIA,3
AX/TAXANE,3
FAC/TAXOTERE/HE,3
FAC +DCT,3
ACX4XTXTX4,3
AC -OT,3
HERCEPTIM+TMX,3
HERCEPTI+AROMAS,3
AX-TAXANE,3
AC-TXTH,3
DCT+FAC,3
HERCEPTIN+PERJA,3
TAMOX+HERCEPTIN,3
CPM(CICLO)+DOCE,3
ACT8CICLOS(ADRI,3
ACT(ADRIBLATINA,3
ACT+TRATUZ.,3
ADRIAMICINA+CIS,3
AC+DOCETAEL,3
ACX 4SEG DOCET,3
CICLO+ DOCETAX,3
TRANSTUZUMAB AT,3
TAXOL+CARB0+HER,3
TAxol,3
ACIDOFOLINICO,3
GEMZAR/PLATINA,3
FEC -> D,3
AC+ TAXANE,3
DOCETAEL + CTX,3
CTX+DOC,3
PACLITACEL+CARB,3
HORMONOTERAPIA,3
DOCE+CICLO+TRAN,3
DCT +CARBO,3
DOCETAXE/FILGRA,3
AC -OTERE,3
TXT+CBP+HERCEPT,3
AX-T/TXT,3
DAXO+CICLOFOSFA,3
ADRIAMICINA/CIO,3
TAXOTERE/HERCEP,3
"ACT,TRANSTUSUNA",3
TAMOXI+HERCEPTI,3
GEMZAR/COOP,3
TXT/XOMETA,3
taxol/hcp,3
zometa,3
TXT/ZOMETA,3
CTX+AC,3
AC-T+ TXT,3
FOLFIRI+AVASTIN,3
INTERFERON,3
ANSTZL+HERCEPTI,3
ac seuidodetaxa,3
ADRIAMICIA/COCL,3
DOCE+CTX+HERCEP,3
FAC+DOXO,3
AC/CICLOFO/DOXO,3
"TAXOTERE,ANASTR",3
PACLITAXEL E TR,3
PACLITA/HERCEPT,3
FAC+INIB,3
ACT8*8CICLOS,3
PTX+PAMIDRO,3
"TAXOTERE, ANAST",3
"AC+T,CARBOPLAS",3
AC/CICLO+DOXO,3
"TAXOL, TAXOL, C",3
AC-T+GENUXAL,3
ACT+TRATUZUMABE,3
"TAXOL,FAC,",3
AC(DOCETAXEL),3
PACLI+HERCEPTIN,3
"GEMZAR,OXALIPLA",3
DOCETAXEL + FE,3
ACT(GENZAR+ADRI,3
ACF,3
AC +T+ H,3
ac+t+herceptin,3
DOCETAXEL+SICLO,3
PACLIANAS,3
DOX+CICL+PACL,3
"ZOMETA, TAXOL",3
CDDP+RT,3
5FU+METROTEXATO,3
CMF/ZOMETA,3
"DOXO,DOCETAXEL",3
AC/CICLO +DEXO,3
TRANS+PACLI,3
"ACT,TRASTUZUMAB",3
CISPLA+GENC,3
HERCEPTINA+TAXO,3
PCT+TRASTUZUMAB,3
DOCETAXEL +TRAS,3
AC+TI,3
DCT+FILGRASTIN+,3
HECERPTIN,3
CICLOF+DOCETAX,3
QT NEOADJUVANTE,3
TEMOX+HERCEPTIN,3
ACDD+TAXOL+TAMO,3
DOCETAX+CPM,3
FAC X4/ TXTX4,3
ACT+HERCEPTIM,3
"CISPLATINA,DOXO",3
AC-T/HERC,3
TAXOTER+HERCEPT,3
ANTRAC+CICLOFOS,3
ANASTRO+HERCEP,3
AC -T+BONEFOS,3
LEUPRORRELINA+Z,3
ACT-DCTT,3
AC -OTERA,3
hercptin,3
TMX+BONEFOIS,3
AC/DACETAXEL,3
TTZ,3
AC-DACETAXEL,3
SC-DOCETAXEL,3
PACLIT%HERCEPTI,3
CDDPGENZAR,3
CICLOF+DOXO+TAX,3
ACT X8 CICLOS,3
FAC+TXT+6,3
CISP+GEMZAR,3
AC/Taxol +herce,3
DOXU/CICLOFOSF,3
AC +ERCEPTIM,3
Doxorrubicina,3
ACT(CICLO+AD+TA,3
ACT(ADR+CICLO+T,3
DOCE+NOVELB,3
ACT(DOR+CICO+TA,3
FAC(ADRIA+CICL,3
ACX4+TAXOLX12,3
ACT(GENU+ADRI+T,3
DOCETA+HERCEPTI,3
ACT(DORRU+CICLO,3
ACT(GENUXAL+ADR,3
AC TAOTERA,3
AC -T+AREDIA,3
AC+TxT,3
TMX+HERCEPT,3
PEDITAXOL,3
PEDTAXOL,3
TXT +HCP,3
TC+FILGRASTIM,3
TRASTUZ.+DOCETA,3
"ZOFRAN,TAXOL",3
ADRIBLAST,3
AC-PALCITAXEL,3
AC (MAMA),3
DOXORRUB./ CICL,3
HERCPTIN+ANASTR,3
DOXORR/ CICLOF,3
ADRIBLASTIN,3
DOCETAXEL +HERC,3
AC+T+TC,3
PCT +TTZ,3
MINE,3
4 ACT+HERCEPTI,3
GENC/CISPLATINA,3
taxolsem,3
"PACLITAXEL,ADRI",3
DOXARRUBICINA,3
AC+AREDIA,3
AC( ADRI+CICLO),3
ACT+8CICLOS(ADR,3
DOCE+NVB,3
ADMECTX,3
GCSF300,3
DOCERAXEL+CPM,3
AC /TAXANE,3
TXT 140,3
AC. TAXANE,3
TANOXICAM,3
DOXORRU+DOCETAX,3
TAXOLSEM + HCP,3
AC-T/ HERCEPTI,3
DOCE+HECEP,3
TRANSTUZ/HERCEP,3
AC-T/ TAMOXIFE,3
TAXOL+CARBO+HCP,3
TXT+GCSF,3
CDDP+ GENZAR,3
ADR/CICL/PAC,3
tamoxi,3
TRANSTUZUMAB/HE,3
DCT +FILGRASTI,3
DOCE+HECEPTIN,3
DEXORRUBICINA +,3
FAC-TXT,3
TXT /AC-T,3
TAMOXIF+LEUPROR,3
TC/FILGASTIM,3
ACA,3
OXALIPLATINA+LV,3
TRASNTUZUMABE,3
ZOFR+PACLI+HERC,3
AC-T(CILO+ADRIA,3
HERCEPTIN+DOCET,3
PACLITAXE/GRANU,3
AC+T(ADRIBLA+CI,3
"DOXORRUBICINA ,",3
4AC+4T+HERCEPTI,3
ADRIAMICINA/COC,3
CICLOFOSMIDA,3
HERCEPTIM+TAXOT,3
"DOXORRUB,CICLOF",3
HERCEPTIN+PTX,3
TC/ FELGASTRIM,3
DOCE+DOXORRUBIC,3
AC-TTXT,3
ACT-TAXOL/CARB,3
DOCET+HERCEP,3
D- AC,3
HEREPT+ANSTROZO,3
HERCE+DOCE+DOXO,3
AC TAO,3
CARBO- TAXOL,3
TMX+HERC,3
AC-DOOCETAXEL,3
TC/TXOUTAXOLISO,3
FEC 80,3
FAC(ADRIA+CICLO,3
FU DOXO,3
ACT CLASSICO (D,3
"FILGRASTIM,",3
ACT.,3
DOXORR/ CICLOFO,3
DOXORR,3
DOXORRUBIC,3
CICLOFOSFA,3
TRANSTUZIMABE C,3
EC+FU,3
DOXO-CICLO - P,3
PTX D1 E D15,3
HERCEPTIN+TAXEL,3
III,3
CICLOF/PACLITAX,3
DOCE+GEMZAR+AC,3
FAC -XOTERE,3
TXT /CARBO/HER,3
TAMOXIFENO+TAXO,3
CETU+DOCETAXEL,3
HERCEPTEM/TXT,3
ACT/HERCEP,3
TXT/HERCEPTIM,3
Hercept + TXT,3
AC -+HERCEPTIN,3
PACLITA,3
FAC+AC,3
DOSORRUB+CICLOS,3
GENZAR/PLATINA,3
CICLOFOSFAMI,3
DOXRRUB/CICLO,3
MAMAAC-T,3
"TAXOL,CTX",3
TAMOXIFEMO,3
AV+T,3
TXT GRANULOKINE,3
AC X4 >PACLITA,3
ZOLADEX ANASTRO,3
AC SEGUIDODEPAC,3
TXT /HERC,3
ADRI/CICL/PACL,3
CT4N1,3
DEXACICLO,3
METOCICLO,3
FAC+TAXOL (MAMA,3
facx3+txtx3,3
FAC/AC,3
ADRIAM.CICLOF.,3
anastr,3
EC+5FU,3
